T07,"Enrolment in primary, secondary and tertiary education levels",,,,,
462,Maldives,2005,Students enrolled in primary education (thousands),57.8730,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
462,Maldives,2005,Gross enrollement ratio - Primary (male),121.1244,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
462,Maldives,2005,Gross enrollment ratio - Primary (female),116.9654,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
462,Maldives,2008,Students enrolled in primary education (thousands),47.0820,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
462,Maldives,2008,Gross enrollement ratio - Primary (male),111.7307,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
462,Maldives,2008,Gross enrollment ratio - Primary (female),107.2184,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
462,Maldives,2008,Students enrolled in tertiary education (thousands),5.1710,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
462,Maldives,2008,Gross enrollment ratio - Tertiary (male),9.5172,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
462,Maldives,2008,Gross enrollment ratio - Tertiary (female),13.4001,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
462,Maldives,2009,Students enrolled in primary education (thousands),44.6750,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
462,Maldives,2009,Gross enrollement ratio - Primary (male),109.3226,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
462,Maldives,2009,Gross enrollment ratio - Primary (female),105.3644,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
462,Maldives,2010,Students enrolled in primary education (thousands),42.1460,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
462,Maldives,2014,Students enrolled in primary education (thousands),39.5700,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
462,Maldives,2014,Students enrolled in tertiary education (thousands),6.0890,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
462,Maldives,2014,Gross enrollment ratio - Tertiary (male),9.9499,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
462,Maldives,2014,Gross enrollment ratio - Tertiary (female),20.4955,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
462,Maldives,2015,Students enrolled in primary education (thousands),42.1370,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
462,Maldives,2015,Gross enrollement ratio - Primary (male),102.2780,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
462,Maldives,2015,Gross enrollment ratio - Primary (female),99.7751,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
462,Maldives,2017,Students enrolled in primary education (thousands),45.3260,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
462,Maldives,2017,Gross enrollement ratio - Primary (male),101.5663,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
462,Maldives,2017,Gross enrollment ratio - Primary (female),101.4685,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
466,Mali,2002,Students enrolled in primary education (thousands),"1,227.2670",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
466,Mali,2002,Gross enrollement ratio - Primary (male),75.1907,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
466,Mali,2002,Gross enrollment ratio - Primary (female),56.6173,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
466,Mali,2002,Students enrolled in tertiary education (thousands),22.6320,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
466,Mali,2002,Gross enrollment ratio - Tertiary (male),2.7736,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
466,Mali,2002,Gross enrollment ratio - Tertiary (female),1.3948,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
466,Mali,2005,Students enrolled in primary education (thousands),"1,505.9030",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
466,Mali,2005,Gross enrollement ratio - Primary (male),82.5205,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
466,Mali,2005,Gross enrollment ratio - Primary (female),64.8159,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
466,Mali,2005,Students enrolled in secondary education (thousands),429.7160,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
466,Mali,2005,Gross enrollment ratio - Secondary (male),31.8021,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
466,Mali,2005,Gross enrollment ratio - Secondary (female),19.6028,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
466,Mali,2010,Students enrolled in primary education (thousands),"2,018.5510",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
466,Mali,2010,Gross enrollement ratio - Primary (male),89.5983,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
466,Mali,2010,Gross enrollment ratio - Primary (female),76.8374,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
466,Mali,2010,Students enrolled in secondary education (thousands),758.2850,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
466,Mali,2010,Gross enrollment ratio - Secondary (male),46.3577,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
466,Mali,2010,Gross enrollment ratio - Secondary (female),31.8658,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
466,Mali,2010,Students enrolled in tertiary education (thousands),81.1880,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
466,Mali,2010,Gross enrollment ratio - Tertiary (male),8.6160,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
466,Mali,2010,Gross enrollment ratio - Tertiary (female),3.5578,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
466,Mali,2014,Students enrolled in primary education (thousands),"2,181.6170",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
466,Mali,2014,Gross enrollement ratio - Primary (male),81.5108,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
466,Mali,2014,Gross enrollment ratio - Primary (female),72.3170,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
466,Mali,2014,Students enrolled in secondary education (thousands),961.0460,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
466,Mali,2014,Gross enrollment ratio - Secondary (male),50.3851,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
466,Mali,2014,Gross enrollment ratio - Secondary (female),37.3427,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
466,Mali,2014,Students enrolled in tertiary education (thousands),87.6620,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
466,Mali,2014,Gross enrollment ratio - Tertiary (male),8.3778,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
466,Mali,2014,Gross enrollment ratio - Tertiary (female),3.4927,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
466,Mali,2015,Students enrolled in primary education (thousands),"2,227.0820",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
466,Mali,2015,Gross enrollement ratio - Primary (male),79.6092,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
466,Mali,2015,Gross enrollment ratio - Primary (female),71.4525,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
466,Mali,2015,Students enrolled in secondary education (thousands),945.4840,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
466,Mali,2015,Gross enrollment ratio - Secondary (male),46.4073,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
466,Mali,2015,Gross enrollment ratio - Secondary (female),36.7811,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
466,Mali,2015,Students enrolled in tertiary education (thousands),83.1500,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
466,Mali,2015,Gross enrollment ratio - Tertiary (male),7.7188,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
466,Mali,2015,Gross enrollment ratio - Tertiary (female),3.2265,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
466,Mali,2017,Students enrolled in primary education (thousands),"2,538.5020",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
466,Mali,2017,Gross enrollement ratio - Primary (male),84.4631,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
466,Mali,2017,Gross enrollment ratio - Primary (female),75.5514,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
466,Mali,2017,Students enrolled in secondary education (thousands),"1,017.4150",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
466,Mali,2017,Gross enrollment ratio - Secondary (male),45.7987,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
466,Mali,2017,Gross enrollment ratio - Secondary (female),37.0210,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
470,Malta,2005,Students enrolled in primary education (thousands),29.5960,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
470,Malta,2005,Gross enrollement ratio - Primary (male),97.9770,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
470,Malta,2005,Gross enrollment ratio - Primary (female),95.6988,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
470,Malta,2005,Students enrolled in secondary education (thousands),40.1290,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
470,Malta,2005,Gross enrollment ratio - Secondary (male),104.5335,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
470,Malta,2005,Gross enrollment ratio - Secondary (female),100.3155,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
470,Malta,2005,Students enrolled in tertiary education (thousands),9.4410,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
470,Malta,2005,Gross enrollment ratio - Tertiary (male),27.5259,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
470,Malta,2005,Gross enrollment ratio - Tertiary (female),37.2766,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
470,Malta,2010,Students enrolled in primary education (thousands),24.9850,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
470,Malta,2010,Gross enrollement ratio - Primary (male),98.6845,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
470,Malta,2010,Gross enrollment ratio - Primary (female),99.3422,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
470,Malta,2010,Students enrolled in secondary education (thousands),37.1630,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
470,Malta,2010,Gross enrollment ratio - Secondary (male),109.6915,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
470,Malta,2010,Gross enrollment ratio - Secondary (female),97.9703,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
470,Malta,2010,Students enrolled in tertiary education (thousands),10.8400,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
470,Malta,2010,Gross enrollment ratio - Tertiary (male),31.6166,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
470,Malta,2010,Gross enrollment ratio - Tertiary (female),42.7482,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
470,Malta,2014,Students enrolled in primary education (thousands),24.0720,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
470,Malta,2014,Gross enrollement ratio - Primary (male),101.0929,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
470,Malta,2014,Gross enrollment ratio - Primary (female),102.7501,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
470,Malta,2014,Students enrolled in secondary education (thousands),30.2300,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
470,Malta,2014,Gross enrollment ratio - Secondary (male),92.1724,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
470,Malta,2014,Gross enrollment ratio - Secondary (female),96.4711,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
470,Malta,2014,Students enrolled in tertiary education (thousands),12.6100,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
470,Malta,2014,Gross enrollment ratio - Tertiary (male),38.9250,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
470,Malta,2014,Gross enrollment ratio - Tertiary (female),50.8826,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
470,Malta,2015,Students enrolled in primary education (thousands),24.6240,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
470,Malta,2015,Gross enrollement ratio - Primary (male),102.1972,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
470,Malta,2015,Gross enrollment ratio - Primary (female),104.7225,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
470,Malta,2015,Students enrolled in secondary education (thousands),29.4340,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
470,Malta,2015,Gross enrollment ratio - Secondary (male),91.7026,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
470,Malta,2015,Gross enrollment ratio - Secondary (female),98.0988,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
470,Malta,2015,Students enrolled in tertiary education (thousands),13.2160,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
470,Malta,2015,Gross enrollment ratio - Tertiary (male),40.2570,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
470,Malta,2015,Gross enrollment ratio - Tertiary (female),55.1673,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
470,Malta,2016,Students enrolled in primary education (thousands),25.1770,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
470,Malta,2016,Gross enrollement ratio - Primary (male),102.6201,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
470,Malta,2016,Gross enrollment ratio - Primary (female),106.6372,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
470,Malta,2016,Students enrolled in secondary education (thousands),28.7760,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
470,Malta,2016,Gross enrollment ratio - Secondary (male),93.7982,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
470,Malta,2016,Gross enrollment ratio - Secondary (female),97.7691,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
470,Malta,2016,Students enrolled in tertiary education (thousands),13.3290,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
470,Malta,2016,Gross enrollment ratio - Tertiary (male),41.5437,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
470,Malta,2016,Gross enrollment ratio - Tertiary (female),56.7766,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
584,Marshall Islands,2002,Students enrolled in primary education (thousands),8.7570,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
584,Marshall Islands,2002,Gross enrollement ratio - Primary (male),124.5770,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
584,Marshall Islands,2002,Gross enrollment ratio - Primary (female),116.1263,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
584,Marshall Islands,2002,Students enrolled in secondary education (thousands),6.3530,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
584,Marshall Islands,2002,Gross enrollment ratio - Secondary (male),71.7066,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
584,Marshall Islands,2002,Gross enrollment ratio - Secondary (female),74.3796,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
584,Marshall Islands,2002,Students enrolled in tertiary education (thousands),0.9030,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
584,Marshall Islands,2002,Gross enrollment ratio - Tertiary (male),14.2391,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
584,Marshall Islands,2002,Gross enrollment ratio - Tertiary (female),18.2927,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
584,Marshall Islands,2005,Students enrolled in primary education (thousands),8.0550,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
584,Marshall Islands,2005,Gross enrollement ratio - Primary (male),103.0244,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
584,Marshall Islands,2005,Gross enrollment ratio - Primary (female),129.8516,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
584,Marshall Islands,2005,Students enrolled in secondary education (thousands),5.2600,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
584,Marshall Islands,2005,Gross enrollment ratio - Secondary (male),75.6255,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
584,Marshall Islands,2005,Gross enrollment ratio - Secondary (female),75.7442,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
584,Marshall Islands,2009,Students enrolled in primary education (thousands),8.3980,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
584,Marshall Islands,2009,Gross enrollement ratio - Primary (male),107.4248,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
584,Marshall Islands,2009,Gross enrollment ratio - Primary (female),107.8997,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
584,Marshall Islands,2009,Students enrolled in secondary education (thousands),5.2290,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
584,Marshall Islands,2009,Gross enrollment ratio - Secondary (male),101.4358,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
584,Marshall Islands,2009,Gross enrollment ratio - Secondary (female),104.3912,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
584,Marshall Islands,2011,Students enrolled in primary education (thousands),8.5460,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
584,Marshall Islands,2011,Gross enrollement ratio - Primary (male),105.7313,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
584,Marshall Islands,2011,Gross enrollment ratio - Primary (female),105.0474,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
584,Marshall Islands,2012,Students enrolled in tertiary education (thousands),1.3300,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
584,Marshall Islands,2012,Gross enrollment ratio - Tertiary (male),44.5902,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
