T11,Expenditure on health,,,,,
296,Kiribati,2015,Current health expenditure (% of GDP),8.0908,Data refer to fiscal years beginning 1 July.;General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
296,Kiribati,2016,Current health expenditure (% of GDP),11.8599,Data refer to fiscal years beginning 1 July.;General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
296,Kiribati,2000,Domestic general government health expenditure (% of total government expenditure),11.4062,Data refer to fiscal years beginning 1 July.;General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
296,Kiribati,2005,Domestic general government health expenditure (% of total government expenditure),11.4062,Data refer to fiscal years beginning 1 July.;General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
296,Kiribati,2010,Domestic general government health expenditure (% of total government expenditure),10.2950,Data refer to fiscal years beginning 1 July.;General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
296,Kiribati,2014,Domestic general government health expenditure (% of total government expenditure),6.9702,Data refer to fiscal years beginning 1 July.;General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
296,Kiribati,2015,Domestic general government health expenditure (% of total government expenditure),6.2581,Data refer to fiscal years beginning 1 July.;General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
296,Kiribati,2016,Domestic general government health expenditure (% of total government expenditure),5.5430,Data refer to fiscal years beginning 1 July.;General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
414,Kuwait,2000,Current health expenditure (% of GDP),2.5149,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
414,Kuwait,2005,Current health expenditure (% of GDP),2.3776,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
414,Kuwait,2010,Current health expenditure (% of GDP),2.7570,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
414,Kuwait,2014,Current health expenditure (% of GDP),3.1976,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
414,Kuwait,2015,Current health expenditure (% of GDP),4.0147,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
414,Kuwait,2016,Current health expenditure (% of GDP),3.9039,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
414,Kuwait,2000,Domestic general government health expenditure (% of total government expenditure),5.2246,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
414,Kuwait,2005,Domestic general government health expenditure (% of total government expenditure),6.7521,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
414,Kuwait,2010,Domestic general government health expenditure (% of total government expenditure),5.2162,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
414,Kuwait,2014,Domestic general government health expenditure (% of total government expenditure),6.2061,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
414,Kuwait,2015,Domestic general government health expenditure (% of total government expenditure),6.2063,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
414,Kuwait,2016,Domestic general government health expenditure (% of total government expenditure),6.2063,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
417,Kyrgyzstan,2000,Current health expenditure (% of GDP),4.4141,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
417,Kyrgyzstan,2005,Current health expenditure (% of GDP),7.4501,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
417,Kyrgyzstan,2010,Current health expenditure (% of GDP),6.9503,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
417,Kyrgyzstan,2014,Current health expenditure (% of GDP),8.3127,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
417,Kyrgyzstan,2015,Current health expenditure (% of GDP),7.2194,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
417,Kyrgyzstan,2016,Current health expenditure (% of GDP),6.6253,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
417,Kyrgyzstan,2000,Domestic general government health expenditure (% of total government expenditure),7.0640,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
417,Kyrgyzstan,2005,Domestic general government health expenditure (% of total government expenditure),12.8310,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
417,Kyrgyzstan,2010,Domestic general government health expenditure (% of total government expenditure),9.2057,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
417,Kyrgyzstan,2014,Domestic general government health expenditure (% of total government expenditure),10.5651,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
417,Kyrgyzstan,2015,Domestic general government health expenditure (% of total government expenditure),7.2835,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
417,Kyrgyzstan,2016,Domestic general government health expenditure (% of total government expenditure),6.6006,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
418,Lao People's Dem. Rep.,2000,Current health expenditure (% of GDP),4.2751,Data refer to fiscal years ending 30 September.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
418,Lao People's Dem. Rep.,2005,Current health expenditure (% of GDP),3.3367,Data refer to fiscal years ending 30 September.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
418,Lao People's Dem. Rep.,2010,Current health expenditure (% of GDP),2.9116,Break in the time series.;Data refer to fiscal years ending 30 September.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
418,Lao People's Dem. Rep.,2014,Current health expenditure (% of GDP),2.2985,Data refer to fiscal years ending 30 September.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
418,Lao People's Dem. Rep.,2015,Current health expenditure (% of GDP),2.4537,Data refer to fiscal years ending 30 September.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
418,Lao People's Dem. Rep.,2016,Current health expenditure (% of GDP),2.3609,Data refer to fiscal years ending 30 September.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
418,Lao People's Dem. Rep.,2000,Domestic general government health expenditure (% of total government expenditure),6.1741,Data refer to fiscal years ending 30 September.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
418,Lao People's Dem. Rep.,2005,Domestic general government health expenditure (% of total government expenditure),5.7477,Data refer to fiscal years ending 30 September.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
418,Lao People's Dem. Rep.,2010,Domestic general government health expenditure (% of total government expenditure),2.7053,Data refer to fiscal years ending 30 September.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
418,Lao People's Dem. Rep.,2014,Domestic general government health expenditure (% of total government expenditure),2.8370,Data refer to fiscal years ending 30 September.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
418,Lao People's Dem. Rep.,2015,Domestic general government health expenditure (% of total government expenditure),3.7610,Data refer to fiscal years ending 30 September.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
418,Lao People's Dem. Rep.,2016,Domestic general government health expenditure (% of total government expenditure),3.7381,Data refer to fiscal years ending 30 September.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
428,Latvia,2000,Current health expenditure (% of GDP),5.4478,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
428,Latvia,2005,Current health expenditure (% of GDP),5.8604,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
428,Latvia,2010,Current health expenditure (% of GDP),6.1485,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
428,Latvia,2014,Current health expenditure (% of GDP),5.4652,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
428,Latvia,2015,Current health expenditure (% of GDP),5.7106,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
428,Latvia,2016,Current health expenditure (% of GDP),6.2429,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
428,Latvia,2000,Domestic general government health expenditure (% of total government expenditure),7.4213,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
428,Latvia,2005,Domestic general government health expenditure (% of total government expenditure),9.5507,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
428,Latvia,2010,Domestic general government health expenditure (% of total government expenditure),8.1323,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
428,Latvia,2014,Domestic general government health expenditure (% of total government expenditure),8.5576,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
428,Latvia,2015,Domestic general government health expenditure (% of total government expenditure),8.5218,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
428,Latvia,2016,Domestic general government health expenditure (% of total government expenditure),9.1841,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
422,Lebanon,2000,Current health expenditure (% of GDP),10.6895,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
422,Lebanon,2005,Current health expenditure (% of GDP),7.5512,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
422,Lebanon,2010,Current health expenditure (% of GDP),7.4433,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
422,Lebanon,2014,Current health expenditure (% of GDP),7.9660,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
422,Lebanon,2015,Current health expenditure (% of GDP),7.8259,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
422,Lebanon,2016,Current health expenditure (% of GDP),8.0167,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
422,Lebanon,2000,Domestic general government health expenditure (% of total government expenditure),7.5372,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
422,Lebanon,2005,Domestic general government health expenditure (% of total government expenditure),9.2284,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
422,Lebanon,2010,Domestic general government health expenditure (% of total government expenditure),10.2938,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
422,Lebanon,2014,Domestic general government health expenditure (% of total government expenditure),13.6758,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
422,Lebanon,2015,Domestic general government health expenditure (% of total government expenditure),14.3326,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
422,Lebanon,2016,Domestic general government health expenditure (% of total government expenditure),14.3326,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
426,Lesotho,2000,Current health expenditure (% of GDP),5.8572,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
426,Lesotho,2005,Current health expenditure (% of GDP),5.0662,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
426,Lesotho,2010,Current health expenditure (% of GDP),7.6723,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
426,Lesotho,2014,Current health expenditure (% of GDP),8.6281,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
426,Lesotho,2015,Current health expenditure (% of GDP),8.3457,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
426,Lesotho,2016,Current health expenditure (% of GDP),8.0766,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
426,Lesotho,2000,Domestic general government health expenditure (% of total government expenditure),7.6923,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
426,Lesotho,2005,Domestic general government health expenditure (% of total government expenditure),5.8353,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
426,Lesotho,2010,Domestic general government health expenditure (% of total government expenditure),8.6495,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
426,Lesotho,2014,Domestic general government health expenditure (% of total government expenditure),11.7176,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
426,Lesotho,2015,Domestic general government health expenditure (% of total government expenditure),11.2762,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
426,Lesotho,2016,Domestic general government health expenditure (% of total government expenditure),10.8996,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
430,Liberia,2000,Current health expenditure (% of GDP),3.9942,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
430,Liberia,2005,Current health expenditure (% of GDP),8.7858,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
430,Liberia,2010,Current health expenditure (% of GDP),8.8072,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
430,Liberia,2014,Current health expenditure (% of GDP),8.9118,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
430,Liberia,2015,Current health expenditure (% of GDP),10.1891,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
430,Liberia,2016,Current health expenditure (% of GDP),9.6151,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
430,Liberia,2000,Domestic general government health expenditure (% of total government expenditure),4.9649,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
430,Liberia,2005,Domestic general government health expenditure (% of total government expenditure),4.4866,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
430,Liberia,2010,Domestic general government health expenditure (% of total government expenditure),2.3866,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
430,Liberia,2014,Domestic general government health expenditure (% of total government expenditure),2.4192,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
430,Liberia,2015,Domestic general government health expenditure (% of total government expenditure),3.0682,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
430,Liberia,2016,Domestic general government health expenditure (% of total government expenditure),3.8608,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
434,Libya,2000,Current health expenditure (% of GDP),3.4254,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
434,Libya,2005,Current health expenditure (% of GDP),2.5977,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
434,Libya,2010,Current health expenditure (% of GDP),3.5854,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
434,Libya,2000,Domestic general government health expenditure (% of total government expenditure),6.0398,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
434,Libya,2005,Domestic general government health expenditure (% of total government expenditure),5.7806,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
434,Libya,2010,Domestic general government health expenditure (% of total government expenditure),4.3341,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
440,Lithuania,2000,Current health expenditure (% of GDP),6.1917,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
440,Lithuania,2005,Current health expenditure (% of GDP),5.6420,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
440,Lithuania,2010,Current health expenditure (% of GDP),6.8161,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
440,Lithuania,2014,Current health expenditure (% of GDP),6.1955,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
440,Lithuania,2015,Current health expenditure (% of GDP),6.4764,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
440,Lithuania,2016,Current health expenditure (% of GDP),6.6716,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
440,Lithuania,2000,Domestic general government health expenditure (% of total government expenditure),10.5711,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
440,Lithuania,2005,Domestic general government health expenditure (% of total government expenditure),10.0503,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
440,Lithuania,2010,Domestic general government health expenditure (% of total government expenditure),11.4556,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
440,Lithuania,2014,Domestic general government health expenditure (% of total government expenditure),11.9080,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
440,Lithuania,2015,Domestic general government health expenditure (% of total government expenditure),12.2676,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
440,Lithuania,2016,Domestic general government health expenditure (% of total government expenditure),12.7954,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
442,Luxembourg,2000,Current health expenditure (% of GDP),5.9014,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
442,Luxembourg,2005,Current health expenditure (% of GDP),7.1841,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
442,Luxembourg,2010,Current health expenditure (% of GDP),7.0306,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
442,Luxembourg,2014,Current health expenditure (% of GDP),6.4286,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
442,Luxembourg,2015,Current health expenditure (% of GDP),6.1896,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
442,Luxembourg,2016,Current health expenditure (% of GDP),6.1638,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
442,Luxembourg,2000,Domestic general government health expenditure (% of total government expenditure),12.9722,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
442,Luxembourg,2005,Domestic general government health expenditure (% of total government expenditure),13.8857,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
442,Luxembourg,2010,Domestic general government health expenditure (% of total government expenditure),13.7246,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
442,Luxembourg,2014,Domestic general government health expenditure (% of total government expenditure),12.7045,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
442,Luxembourg,2015,Domestic general government health expenditure (% of total government expenditure),12.2271,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
442,Luxembourg,2016,Domestic general government health expenditure (% of total government expenditure),11.8807,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
450,Madagascar,2000,Current health expenditure (% of GDP),5.3857,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
450,Madagascar,2005,Current health expenditure (% of GDP),5.5263,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
450,Madagascar,2010,Current health expenditure (% of GDP),5.3204,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
450,Madagascar,2014,Current health expenditure (% of GDP),5.0827,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
450,Madagascar,2015,Current health expenditure (% of GDP),5.5042,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
450,Madagascar,2016,Current health expenditure (% of GDP),6.0036,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
450,Madagascar,2000,Domestic general government health expenditure (% of total government expenditure),12.3637,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
450,Madagascar,2005,Domestic general government health expenditure (% of total government expenditure),8.3219,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
450,Madagascar,2010,Domestic general government health expenditure (% of total government expenditure),15.2097,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
450,Madagascar,2014,Domestic general government health expenditure (% of total government expenditure),13.9241,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
450,Madagascar,2015,Domestic general government health expenditure (% of total government expenditure),15.6105,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
450,Madagascar,2016,Domestic general government health expenditure (% of total government expenditure),17.8289,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
454,Malawi,2000,Current health expenditure (% of GDP),3.3525,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
454,Malawi,2005,Current health expenditure (% of GDP),6.0551,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
454,Malawi,2010,Current health expenditure (% of GDP),7.2414,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
454,Malawi,2014,Current health expenditure (% of GDP),9.7120,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
454,Malawi,2015,Current health expenditure (% of GDP),9.3335,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
454,Malawi,2016,Current health expenditure (% of GDP),9.8303,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
454,Malawi,2000,Domestic general government health expenditure (% of total government expenditure),7.0660,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
454,Malawi,2005,Domestic general government health expenditure (% of total government expenditure),6.0578,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
454,Malawi,2010,Domestic general government health expenditure (% of total government expenditure),5.7947,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
454,Malawi,2014,Domestic general government health expenditure (% of total government expenditure),8.4839,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
454,Malawi,2015,Domestic general government health expenditure (% of total government expenditure),9.7080,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
454,Malawi,2016,Domestic general government health expenditure (% of total government expenditure),9.8299,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
458,Malaysia,2000,Current health expenditure (% of GDP),2.5648,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
458,Malaysia,2005,Current health expenditure (% of GDP),2.8446,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
458,Malaysia,2010,Current health expenditure (% of GDP),3.2287,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
458,Malaysia,2014,Current health expenditure (% of GDP),3.7730,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
458,Malaysia,2015,Current health expenditure (% of GDP),3.8976,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
458,Malaysia,2016,Current health expenditure (% of GDP),3.8022,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
458,Malaysia,2000,Domestic general government health expenditure (% of total government expenditure),4.6045,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
458,Malaysia,2005,Domestic general government health expenditure (% of total government expenditure),5.6117,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
458,Malaysia,2010,Domestic general government health expenditure (% of total government expenditure),6.3204,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
458,Malaysia,2014,Domestic general government health expenditure (% of total government expenditure),7.8531,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
458,Malaysia,2015,Domestic general government health expenditure (% of total government expenditure),8.2382,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
458,Malaysia,2016,Domestic general government health expenditure (% of total government expenditure),8.2269,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
462,Maldives,2000,Current health expenditure (% of GDP),7.7366,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
462,Maldives,2005,Current health expenditure (% of GDP),8.8275,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
462,Maldives,2010,Current health expenditure (% of GDP),8.4876,Break in the time series.;Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
462,Maldives,2014,Current health expenditure (% of GDP),7.9078,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
462,Maldives,2015,Current health expenditure (% of GDP),8.8990,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
462,Maldives,2016,Current health expenditure (% of GDP),10.6108,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
462,Maldives,2000,Domestic general government health expenditure (% of total government expenditure),8.8414,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
462,Maldives,2005,Domestic general government health expenditure (% of total government expenditure),7.6986,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
