T06,"Ratio of girls to boys in primary, secondary and tertiary education",,,,,
360,Indonesia,2017,Ratio of girls to boys in secondary education,1.0294,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
360,Indonesia,1985,Ratio of girls to boys in tertiary education,0.4883,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
360,Indonesia,1995,Ratio of girls to boys in tertiary education,0.6341,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
360,Indonesia,2010,Ratio of girls to boys in tertiary education,0.9003,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
360,Indonesia,2017,Ratio of girls to boys in tertiary education,1.1270,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
364,Iran (Islamic Republic of),1985,Ratio of girls to boys in primary education,0.7914,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
364,Iran (Islamic Republic of),1995,Ratio of girls to boys in primary education,0.9333,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
364,Iran (Islamic Republic of),2005,Ratio of girls to boys in primary education,0.9754,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
364,Iran (Islamic Republic of),2010,Ratio of girls to boys in primary education,0.9909,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
364,Iran (Islamic Republic of),2015,Ratio of girls to boys in primary education,1.0546,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
364,Iran (Islamic Republic of),2016,Ratio of girls to boys in primary education,1.0553,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
364,Iran (Islamic Republic of),2017,Ratio of girls to boys in primary education,1.0337,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
364,Iran (Islamic Republic of),1985,Ratio of girls to boys in secondary education,0.7025,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
364,Iran (Islamic Republic of),1995,Ratio of girls to boys in secondary education,0.8323,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
364,Iran (Islamic Republic of),2005,Ratio of girls to boys in secondary education,0.9633,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
364,Iran (Islamic Republic of),2010,Ratio of girls to boys in secondary education,0.9807,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
364,Iran (Islamic Republic of),2015,Ratio of girls to boys in secondary education,1.0023,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
364,Iran (Islamic Republic of),2016,Ratio of girls to boys in secondary education,1.0228,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
364,Iran (Islamic Republic of),2017,Ratio of girls to boys in secondary education,1.0158,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
364,Iran (Islamic Republic of),2005,Ratio of girls to boys in tertiary education,1.0580,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
364,Iran (Islamic Republic of),2010,Ratio of girls to boys in tertiary education,0.9886,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
364,Iran (Islamic Republic of),2016,Ratio of girls to boys in tertiary education,0.9105,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
368,Iraq,1985,Ratio of girls to boys in primary education,0.8593,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
368,Iraq,1985,Ratio of girls to boys in secondary education,0.5735,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
368,Iraq,1985,Ratio of girls to boys in tertiary education,0.4123,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
368,Iraq,2005,Ratio of girls to boys in tertiary education,0.5974,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
372,Ireland,1985,Ratio of girls to boys in primary education,1.0028,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
372,Ireland,1995,Ratio of girls to boys in primary education,0.9999,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
372,Ireland,2005,Ratio of girls to boys in primary education,0.9963,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
372,Ireland,2010,Ratio of girls to boys in primary education,1.0008,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
372,Ireland,2015,Ratio of girls to boys in primary education,0.9960,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
372,Ireland,2016,Ratio of girls to boys in primary education,0.9943,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
372,Ireland,1985,Ratio of girls to boys in secondary education,1.1020,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
372,Ireland,1995,Ratio of girls to boys in secondary education,1.0604,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
372,Ireland,2005,Ratio of girls to boys in secondary education,1.0888,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
372,Ireland,2010,Ratio of girls to boys in secondary education,1.0602,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
372,Ireland,2015,Ratio of girls to boys in secondary education,1.0281,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
372,Ireland,2016,Ratio of girls to boys in secondary education,1.0268,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
372,Ireland,1985,Ratio of girls to boys in tertiary education,0.7919,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
372,Ireland,1995,Ratio of girls to boys in tertiary education,1.0184,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
372,Ireland,2005,Ratio of girls to boys in tertiary education,1.2428,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
372,Ireland,2010,Ratio of girls to boys in tertiary education,1.0761,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
372,Ireland,2015,Ratio of girls to boys in tertiary education,1.0883,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
372,Ireland,2016,Ratio of girls to boys in tertiary education,1.1065,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
376,Israel,1985,Ratio of girls to boys in primary education,1.0312,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
376,Israel,2005,Ratio of girls to boys in primary education,1.0054,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
376,Israel,2010,Ratio of girls to boys in primary education,1.0044,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
376,Israel,2015,Ratio of girls to boys in primary education,1.0066,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
376,Israel,2016,Ratio of girls to boys in primary education,1.0091,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
376,Israel,2017,Ratio of girls to boys in primary education,1.0089,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
376,Israel,1985,Ratio of girls to boys in secondary education,1.0729,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
376,Israel,2005,Ratio of girls to boys in secondary education,0.9942,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
376,Israel,2010,Ratio of girls to boys in secondary education,1.0241,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
376,Israel,2015,Ratio of girls to boys in secondary education,1.0100,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
376,Israel,2016,Ratio of girls to boys in secondary education,1.0172,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
376,Israel,2017,Ratio of girls to boys in secondary education,1.0170,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
376,Israel,2005,Ratio of girls to boys in tertiary education,1.3254,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
376,Israel,2015,Ratio of girls to boys in tertiary education,1.3830,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
376,Israel,2016,Ratio of girls to boys in tertiary education,1.3993,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
376,Israel,2017,Ratio of girls to boys in tertiary education,1.4100,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
380,Italy,1985,Ratio of girls to boys in primary education,0.9969,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
380,Italy,1995,Ratio of girls to boys in primary education,0.9853,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
380,Italy,2005,Ratio of girls to boys in primary education,0.9892,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
380,Italy,2010,Ratio of girls to boys in primary education,0.9895,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
380,Italy,2015,Ratio of girls to boys in primary education,0.9923,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
380,Italy,2016,Ratio of girls to boys in primary education,0.9978,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
380,Italy,1985,Ratio of girls to boys in secondary education,0.9882,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
380,Italy,1995,Ratio of girls to boys in secondary education,0.9970,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
380,Italy,2005,Ratio of girls to boys in secondary education,0.9933,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
380,Italy,2010,Ratio of girls to boys in secondary education,0.9862,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
380,Italy,2015,Ratio of girls to boys in secondary education,0.9773,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
380,Italy,2016,Ratio of girls to boys in secondary education,0.9823,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
380,Italy,1985,Ratio of girls to boys in tertiary education,0.8529,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
380,Italy,1995,Ratio of girls to boys in tertiary education,1.1415,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
380,Italy,2005,Ratio of girls to boys in tertiary education,1.3685,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
380,Italy,2010,Ratio of girls to boys in tertiary education,1.4256,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
380,Italy,2015,Ratio of girls to boys in tertiary education,1.3571,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
380,Italy,2016,Ratio of girls to boys in tertiary education,1.3388,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
388,Jamaica,1985,Ratio of girls to boys in primary education,1.0183,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
388,Jamaica,1985,Ratio of girls to boys in secondary education,1.0944,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
388,Jamaica,2005,Ratio of girls to boys in secondary education,1.0614,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
388,Jamaica,2010,Ratio of girls to boys in secondary education,1.0823,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
388,Jamaica,2015,Ratio of girls to boys in secondary education,1.0739,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
388,Jamaica,2016,Ratio of girls to boys in secondary education,1.0525,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
388,Jamaica,2017,Ratio of girls to boys in secondary education,1.0588,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
388,Jamaica,2010,Ratio of girls to boys in tertiary education,2.3050,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
388,Jamaica,2015,Ratio of girls to boys in tertiary education,1.7265,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
392,Japan,1985,Ratio of girls to boys in primary education,1.0023,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
392,Japan,1995,Ratio of girls to boys in primary education,1.0047,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
392,Japan,2015,Ratio of girls to boys in primary education,1.0032,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
392,Japan,2016,Ratio of girls to boys in primary education,1.0040,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
392,Japan,1985,Ratio of girls to boys in secondary education,1.0177,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
392,Japan,1995,Ratio of girls to boys in secondary education,1.0160,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
392,Japan,2015,Ratio of girls to boys in secondary education,1.0059,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
392,Japan,2016,Ratio of girls to boys in secondary education,1.0064,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
392,Japan,1985,Ratio of girls to boys in tertiary education,0.5491,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
392,Japan,1995,Ratio of girls to boys in tertiary education,0.8262,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
400,Jordan,1985,Ratio of girls to boys in primary education,1.0525,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
400,Jordan,1995,Ratio of girls to boys in primary education,1.0056,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
400,Jordan,1985,Ratio of girls to boys in secondary education,1.0402,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
400,Jordan,2005,Ratio of girls to boys in secondary education,1.0298,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
400,Jordan,2010,Ratio of girls to boys in secondary education,1.0386,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
400,Jordan,2017,Ratio of girls to boys in secondary education,1.0317,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
400,Jordan,1985,Ratio of girls to boys in tertiary education,0.9512,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
400,Jordan,2005,Ratio of girls to boys in tertiary education,1.0869,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
400,Jordan,2010,Ratio of girls to boys in tertiary education,1.1371,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
400,Jordan,2015,Ratio of girls to boys in tertiary education,1.0881,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
400,Jordan,2016,Ratio of girls to boys in tertiary education,1.0722,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
400,Jordan,2017,Ratio of girls to boys in tertiary education,1.1452,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
398,Kazakhstan,1995,Ratio of girls to boys in primary education,1.0114,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
398,Kazakhstan,2005,Ratio of girls to boys in primary education,0.9994,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
398,Kazakhstan,2010,Ratio of girls to boys in primary education,1.0055,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
398,Kazakhstan,2015,Ratio of girls to boys in primary education,1.0018,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
398,Kazakhstan,2016,Ratio of girls to boys in primary education,1.0026,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
398,Kazakhstan,2017,Ratio of girls to boys in primary education,1.0165,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
398,Kazakhstan,2010,Ratio of girls to boys in secondary education,1.0056,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
398,Kazakhstan,2015,Ratio of girls to boys in secondary education,1.0352,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
398,Kazakhstan,2016,Ratio of girls to boys in secondary education,1.0265,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
398,Kazakhstan,2017,Ratio of girls to boys in secondary education,1.0089,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
398,Kazakhstan,1995,Ratio of girls to boys in tertiary education,1.2880,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
398,Kazakhstan,2010,Ratio of girls to boys in tertiary education,1.2699,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
398,Kazakhstan,2015,Ratio of girls to boys in tertiary education,1.2776,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
398,Kazakhstan,2016,Ratio of girls to boys in tertiary education,1.2373,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
398,Kazakhstan,2017,Ratio of girls to boys in tertiary education,1.2641,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
404,Kenya,1985,Ratio of girls to boys in primary education,0.9552,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
404,Kenya,1995,Ratio of girls to boys in primary education,0.9832,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
404,Kenya,2005,Ratio of girls to boys in primary education,0.9608,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
404,Kenya,2015,Ratio of girls to boys in primary education,0.9989,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
404,Kenya,2016,Ratio of girls to boys in primary education,1.0032,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
404,Kenya,1985,Ratio of girls to boys in secondary education,0.7495,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
404,Kenya,2005,Ratio of girls to boys in secondary education,0.9542,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
404,Kenya,1985,Ratio of girls to boys in tertiary education,0.3499,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
404,Kenya,2005,Ratio of girls to boys in tertiary education,0.5961,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
404,Kenya,2015,Ratio of girls to boys in tertiary education,0.7177,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
404,Kenya,2016,Ratio of girls to boys in tertiary education,0.7043,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
296,Kiribati,1985,Ratio of girls to boys in primary education,1.0042,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
296,Kiribati,1995,Ratio of girls to boys in primary education,1.0250,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
296,Kiribati,2005,Ratio of girls to boys in primary education,1.0141,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
