T04,International migrants and refugees,,,,,
258,French Polynesia,2005,International migrant stock: Female (% total Population),11.1809,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
258,French Polynesia,2010,International migrant stock: Both sexes (number),31640.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
258,French Polynesia,2010,International migrant stock: Both sexes (% total population),11.8139,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
258,French Polynesia,2010,International migrant stock: Male (% total Population),13.1664,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
258,French Polynesia,2010,International migrant stock: Female (% total Population),10.3980,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
258,French Polynesia,2015,International migrant stock: Both sexes (number),30058.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
258,French Polynesia,2015,International migrant stock: Both sexes (% total population),10.8243,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
258,French Polynesia,2015,International migrant stock: Male (% total Population),12.1038,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
258,French Polynesia,2015,International migrant stock: Female (% total Population),9.4937,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
258,French Polynesia,2017,International migrant stock: Both sexes (number),30687.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
258,French Polynesia,2017,International migrant stock: Both sexes (% total population),10.8432,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
258,French Polynesia,2017,International migrant stock: Male (% total Population),12.1408,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
258,French Polynesia,2017,International migrant stock: Female (% total Population),9.4978,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
266,Gabon,2005,International migrant stock: Both sexes (number),214123.0000,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
266,Gabon,2005,International migrant stock: Both sexes (% total population),15.2604,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
266,Gabon,2005,International migrant stock: Male (% total Population),17.4007,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
266,Gabon,2005,International migrant stock: Female (% total Population),13.1131,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
266,Gabon,2005,Total refugees and people in refugee-like situations (number),8545.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
266,Gabon,2005,"Asylum seekers, including pending cases (number)",4843.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
266,Gabon,2005,Other of concern to UNHCR (number),291.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
266,Gabon,2005,Total population of concern to UNHCR (number),13679.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
266,Gabon,2010,International migrant stock: Both sexes (number),243992.0000,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
266,Gabon,2010,International migrant stock: Both sexes (% total population),14.8757,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
266,Gabon,2010,International migrant stock: Male (% total Population),16.6630,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
266,Gabon,2010,International migrant stock: Female (% total Population),13.0134,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
266,Gabon,2010,Total refugees and people in refugee-like situations (number),9015.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
266,Gabon,2010,"Asylum seekers, including pending cases (number)",4132.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
266,Gabon,2010,Other of concern to UNHCR (number),84.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
266,Gabon,2010,Total population of concern to UNHCR (number),13231.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
266,Gabon,2015,International migrant stock: Both sexes (number),268384.0000,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
266,Gabon,2015,International migrant stock: Both sexes (% total population),13.9046,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
266,Gabon,2015,International migrant stock: Male (% total Population),15.4401,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
266,Gabon,2015,International migrant stock: Female (% total Population),12.2816,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
266,Gabon,2015,Total refugees and people in refugee-like situations (number),1008.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
266,Gabon,2015,"Asylum seekers, including pending cases (number)",1886.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
266,Gabon,2015,Total population of concern to UNHCR (number),2894.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
266,Gabon,2017,International migrant stock: Both sexes (number),280197.0000,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
266,Gabon,2017,International migrant stock: Both sexes (% total population),13.8360,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
266,Gabon,2017,International migrant stock: Male (% total Population),15.3703,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
266,Gabon,2017,International migrant stock: Female (% total Population),12.2156,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
266,Gabon,2017,Total refugees and people in refugee-like situations (number),957.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
266,Gabon,2017,"Asylum seekers, including pending cases (number)",105.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
266,Gabon,2017,Other of concern to UNHCR (number),3.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
266,Gabon,2017,Total population of concern to UNHCR (number),1065.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
266,Gabon,2018,Total refugees and people in refugee-like situations (number),833.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
266,Gabon,2018,"Asylum seekers, including pending cases (number)",89.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
266,Gabon,2018,Total population of concern to UNHCR (number),922.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
270,Gambia,2005,International migrant stock: Both sexes (number),181905.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
270,Gambia,2005,International migrant stock: Both sexes (% total population),12.5955,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
270,Gambia,2005,International migrant stock: Male (% total Population),13.4376,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
270,Gambia,2005,International migrant stock: Female (% total Population),11.7671,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
270,Gambia,2005,Total refugees and people in refugee-like situations (number),7330.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
270,Gambia,2005,"Asylum seekers, including pending cases (number)",602.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
270,Gambia,2005,Other of concern to UNHCR (number),42.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
270,Gambia,2005,Total population of concern to UNHCR (number),7974.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
270,Gambia,2010,International migrant stock: Both sexes (number),185763.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
270,Gambia,2010,International migrant stock: Both sexes (% total population),10.9779,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
270,Gambia,2010,International migrant stock: Male (% total Population),11.7043,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
270,Gambia,2010,International migrant stock: Female (% total Population),10.2652,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
270,Gambia,2010,Total refugees and people in refugee-like situations (number),8378.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
270,Gambia,2010,"Asylum seekers, including pending cases (number)",74.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
270,Gambia,2010,Other of concern to UNHCR (number),31.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
270,Gambia,2010,Total population of concern to UNHCR (number),8483.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
270,Gambia,2015,International migrant stock: Both sexes (number),192540.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
270,Gambia,2015,International migrant stock: Both sexes (% total population),9.7361,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
270,Gambia,2015,International migrant stock: Male (% total Population),10.3683,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
270,Gambia,2015,International migrant stock: Female (% total Population),9.1164,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
270,Gambia,2015,Total refugees and people in refugee-like situations (number),11773.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
270,Gambia,2015,"Asylum seekers, including pending cases (number)",2.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
270,Gambia,2015,Total population of concern to UNHCR (number),11775.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
270,Gambia,2017,International migrant stock: Both sexes (number),205063.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
270,Gambia,2017,International migrant stock: Both sexes (% total population),9.7623,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
270,Gambia,2017,International migrant stock: Male (% total Population),10.3971,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
270,Gambia,2017,International migrant stock: Female (% total Population),9.1400,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
270,Gambia,2017,Total refugees and people in refugee-like situations (number),7973.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
270,Gambia,2017,"Asylum seekers, including pending cases (number)",5.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
270,Gambia,2017,Other of concern to UNHCR (number),33.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
270,Gambia,2017,Total population of concern to UNHCR (number),8011.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
270,Gambia,2018,Total refugees and people in refugee-like situations (number),8487.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
270,Gambia,2018,"Asylum seekers, including pending cases (number)",301.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
270,Gambia,2018,Other of concern to UNHCR (number),38.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
270,Gambia,2018,Total population of concern to UNHCR (number),8826.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
268,Georgia,2005,International migrant stock: Both sexes (number),72311.0000,Including Abkhazia and South Ossetia.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
268,Georgia,2005,International migrant stock: Both sexes (% total population),1.6117,Including Abkhazia and South Ossetia.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
268,Georgia,2005,International migrant stock: Male (% total Population),1.4935,Including Abkhazia and South Ossetia.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
268,Georgia,2005,International migrant stock: Female (% total Population),1.7176,Including Abkhazia and South Ossetia.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
268,Georgia,2005,Total refugees and people in refugee-like situations (number),2497.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
268,Georgia,2005,"Asylum seekers, including pending cases (number)",8.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
268,Georgia,2005,Other of concern to UNHCR (number),236097.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
268,Georgia,2005,Total population of concern to UNHCR (number),238602.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
268,Georgia,2010,International migrant stock: Both sexes (number),73034.0000,Including Abkhazia and South Ossetia.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
268,Georgia,2010,International migrant stock: Both sexes (% total population),1.7259,Including Abkhazia and South Ossetia.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
268,Georgia,2010,International migrant stock: Male (% total Population),1.5906,Including Abkhazia and South Ossetia.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
268,Georgia,2010,International migrant stock: Female (% total Population),1.8484,Including Abkhazia and South Ossetia.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
268,Georgia,2010,Total refugees and people in refugee-like situations (number),639.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
268,Georgia,2010,"Asylum seekers, including pending cases (number)",44.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
268,Georgia,2010,Other of concern to UNHCR (number),361547.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
268,Georgia,2010,Total population of concern to UNHCR (number),362230.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
268,Georgia,2015,International migrant stock: Both sexes (number),76685.0000,Including Abkhazia and South Ossetia.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
268,Georgia,2015,International migrant stock: Both sexes (% total population),1.9406,Including Abkhazia and South Ossetia.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
268,Georgia,2015,International migrant stock: Male (% total Population),1.7800,Including Abkhazia and South Ossetia.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
268,Georgia,2015,International migrant stock: Female (% total Population),2.0873,Including Abkhazia and South Ossetia.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
268,Georgia,2015,Total refugees and people in refugee-like situations (number),1659.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
268,Georgia,2015,"Asylum seekers, including pending cases (number)",587.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
268,Georgia,2015,Other of concern to UNHCR (number),266060.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
268,Georgia,2015,Total population of concern to UNHCR (number),268306.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
268,Georgia,2017,International migrant stock: Both sexes (number),78218.0000,Including Abkhazia and South Ossetia.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
268,Georgia,2017,International migrant stock: Both sexes (% total population),1.9994,Including Abkhazia and South Ossetia.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
268,Georgia,2017,International migrant stock: Male (% total Population),1.8332,Including Abkhazia and South Ossetia.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
268,Georgia,2017,International migrant stock: Female (% total Population),2.1513,Including Abkhazia and South Ossetia.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
268,Georgia,2017,Total refugees and people in refugee-like situations (number),2167.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
268,Georgia,2017,"Asylum seekers, including pending cases (number)",344.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
268,Georgia,2017,Other of concern to UNHCR (number),276271.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
268,Georgia,2017,Total population of concern to UNHCR (number),278782.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
268,Georgia,2018,Total refugees and people in refugee-like situations (number),2019.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
268,Georgia,2018,"Asylum seekers, including pending cases (number)",509.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
268,Georgia,2018,Other of concern to UNHCR (number),280585.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
268,Georgia,2018,Total population of concern to UNHCR (number),283113.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
276,Germany,2005,International migrant stock: Both sexes (number),9402447.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
276,Germany,2005,International migrant stock: Both sexes (% total population),11.5126,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
276,Germany,2005,International migrant stock: Male (% total Population),11.7173,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
276,Germany,2005,International migrant stock: Female (% total Population),11.3169,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
276,Germany,2005,Total refugees and people in refugee-like situations (number),700016.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
276,Germany,2005,"Asylum seekers, including pending cases (number)",71624.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
276,Germany,2005,Other of concern to UNHCR (number),12340.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
276,Germany,2005,Total population of concern to UNHCR (number),783980.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
276,Germany,2010,International migrant stock: Both sexes (number),9812263.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
276,Germany,2010,International migrant stock: Both sexes (% total population),12.1297,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
276,Germany,2010,International migrant stock: Male (% total Population),12.2267,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
276,Germany,2010,International migrant stock: Female (% total Population),12.0363,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
276,Germany,2010,Total refugees and people in refugee-like situations (number),594269.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
276,Germany,2010,"Asylum seekers, including pending cases (number)",51991.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
276,Germany,2010,Other of concern to UNHCR (number),24378.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
276,Germany,2010,Total population of concern to UNHCR (number),670638.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
276,Germany,2015,International migrant stock: Both sexes (number),10220418.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
276,Germany,2015,International migrant stock: Both sexes (% total population),12.5085,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
276,Germany,2015,International migrant stock: Male (% total Population),12.5363,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
276,Germany,2015,International migrant stock: Female (% total Population),12.4816,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
276,Germany,2015,Total refugees and people in refugee-like situations (number),250299.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
276,Germany,2015,"Asylum seekers, including pending cases (number)",311551.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
276,Germany,2015,Other of concern to UNHCR (number),11978.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
276,Germany,2015,Total population of concern to UNHCR (number),573828.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
276,Germany,2017,International migrant stock: Both sexes (number),12165083.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
276,Germany,2017,International migrant stock: Both sexes (% total population),14.8148,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
276,Germany,2017,International migrant stock: Male (% total Population),14.9754,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
276,Germany,2017,International migrant stock: Female (% total Population),14.6591,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
276,Germany,2017,Total refugees and people in refugee-like situations (number),864686.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
276,Germany,2017,"Asylum seekers, including pending cases (number)",459503.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
276,Germany,2017,Other of concern to UNHCR (number),12957.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
276,Germany,2017,Total population of concern to UNHCR (number),1337146.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
276,Germany,2018,Total refugees and people in refugee-like situations (number),1021706.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
276,Germany,2018,"Asylum seekers, including pending cases (number)",394131.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
276,Germany,2018,Other of concern to UNHCR (number),14386.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
276,Germany,2018,Total population of concern to UNHCR (number),1430223.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
288,Ghana,2005,International migrant stock: Both sexes (number),304436.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
288,Ghana,2005,International migrant stock: Both sexes (% total population),1.4132,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
288,Ghana,2005,International migrant stock: Male (% total Population),1.4806,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
288,Ghana,2005,International migrant stock: Female (% total Population),1.3460,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
288,Ghana,2005,Total refugees and people in refugee-like situations (number),53537.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
288,Ghana,2005,"Asylum seekers, including pending cases (number)",5496.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
288,Ghana,2005,Other of concern to UNHCR (number),1212.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
288,Ghana,2005,Total population of concern to UNHCR (number),60245.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
288,Ghana,2010,International migrant stock: Both sexes (number),337017.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
288,Ghana,2010,International migrant stock: Both sexes (% total population),1.3749,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
288,Ghana,2010,International migrant stock: Male (% total Population),1.4139,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
288,Ghana,2010,International migrant stock: Female (% total Population),1.3367,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
288,Ghana,2010,Total refugees and people in refugee-like situations (number),13828.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
288,Ghana,2010,"Asylum seekers, including pending cases (number)",749.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
288,Ghana,2010,Other of concern to UNHCR (number),184.0000,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
