X26,Water supply and sanitation services,,,,,
233,Estonia,2005,"Safely managed sanitation facilities, rural (Proportion of population with access)",93.5522,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
233,Estonia,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",96.1065,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
233,Estonia,2010,"Safely managed drinking water sources, total (Proportion of population with access)",95.3757,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
233,Estonia,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",97.4117,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
233,Estonia,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",93.8615,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
233,Estonia,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",96.2790,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
233,Estonia,2017,"Safely managed drinking water sources, total (Proportion of population with access)",93.3330,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
233,Estonia,2017,"Safely managed sanitation facilities, urban (Proportion of population with access)",98.7126,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
233,Estonia,2017,"Safely managed sanitation facilities, rural (Proportion of population with access)",94.3910,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
233,Estonia,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",97.3606,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
748,Eswatini,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",75.0184,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
748,Eswatini,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",83.0334,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
748,Eswatini,2017,"Safely managed drinking water sources, urban (Proportion of population with access)",88.7498,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
231,Ethiopia,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",36.0256,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
231,Ethiopia,2005,"Safely managed drinking water sources, rural (Proportion of population with access)",0.5126,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
231,Ethiopia,2005,"Safely managed drinking water sources, total (Proportion of population with access)",6.0882,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
231,Ethiopia,2005,"Safely managed sanitation facilities, rural (Proportion of population with access)",1.9568,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
231,Ethiopia,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",37.0339,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
231,Ethiopia,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",1.7417,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
231,Ethiopia,2010,"Safely managed drinking water sources, total (Proportion of population with access)",7.8540,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
231,Ethiopia,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",2.7893,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
231,Ethiopia,2017,"Safely managed drinking water sources, urban (Proportion of population with access)",38.4454,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
231,Ethiopia,2017,"Safely managed drinking water sources, rural (Proportion of population with access)",4.5633,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
231,Ethiopia,2017,"Safely managed drinking water sources, total (Proportion of population with access)",11.4448,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
231,Ethiopia,2017,"Safely managed sanitation facilities, rural (Proportion of population with access)",3.8146,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
246,Finland,2005,"Safely managed drinking water sources, total (Proportion of population with access)",95.4395,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
246,Finland,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",99.0142,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
246,Finland,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",99.0660,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
246,Finland,2010,"Safely managed drinking water sources, total (Proportion of population with access)",98.4038,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
246,Finland,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",99.1195,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
246,Finland,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",99.1200,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
246,Finland,2017,"Safely managed drinking water sources, total (Proportion of population with access)",99.6331,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
246,Finland,2017,"Safely managed sanitation facilities, urban (Proportion of population with access)",99.2668,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
246,Finland,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",99.2058,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
250,France,2005,"Safely managed drinking water sources, total (Proportion of population with access)",96.9547,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
250,France,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",89.2421,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
250,France,2010,"Safely managed drinking water sources, total (Proportion of population with access)",97.3401,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
250,France,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",88.8475,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
250,France,2017,"Safely managed drinking water sources, total (Proportion of population with access)",97.8538,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
250,France,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",88.3714,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
254,French Guiana,2005,"Safely managed drinking water sources, total (Proportion of population with access)",88.7658,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
254,French Guiana,2010,"Safely managed drinking water sources, total (Proportion of population with access)",89.6064,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
254,French Guiana,2017,"Safely managed drinking water sources, total (Proportion of population with access)",90.7861,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
270,Gambia,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",50.1441,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
270,Gambia,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",59.1804,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
270,Gambia,2017,"Safely managed drinking water sources, urban (Proportion of population with access)",68.2688,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
268,Georgia,2005,"Safely managed drinking water sources, total (Proportion of population with access)",76.4495,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
268,Georgia,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",7.0457,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
268,Georgia,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",22.8529,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
268,Georgia,2010,"Safely managed drinking water sources, total (Proportion of population with access)",78.5292,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
268,Georgia,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",10.7008,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
268,Georgia,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",24.6348,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
268,Georgia,2017,"Safely managed drinking water sources, total (Proportion of population with access)",79.9947,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
268,Georgia,2017,"Safely managed sanitation facilities, urban (Proportion of population with access)",15.8652,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
268,Georgia,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",27.1651,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
276,Germany,2005,"Safely managed drinking water sources, total (Proportion of population with access)",99.8000,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
276,Germany,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",97.4714,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
276,Germany,2005,"Safely managed sanitation facilities, rural (Proportion of population with access)",90.5237,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
276,Germany,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",95.8025,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
276,Germany,2010,"Safely managed drinking water sources, total (Proportion of population with access)",99.8000,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
276,Germany,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",98.1588,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
276,Germany,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",91.1380,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
276,Germany,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",96.5417,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
276,Germany,2017,"Safely managed drinking water sources, total (Proportion of population with access)",99.8000,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
276,Germany,2017,"Safely managed sanitation facilities, urban (Proportion of population with access)",98.8463,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
276,Germany,2017,"Safely managed sanitation facilities, rural (Proportion of population with access)",91.7524,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
276,Germany,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",97.2332,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
288,Ghana,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",36.0293,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
288,Ghana,2005,"Safely managed drinking water sources, rural (Proportion of population with access)",2.5742,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
288,Ghana,2005,"Safely managed drinking water sources, total (Proportion of population with access)",18.4011,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
288,Ghana,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",44.2845,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
288,Ghana,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",5.9407,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
288,Ghana,2010,"Safely managed drinking water sources, total (Proportion of population with access)",25.3860,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
288,Ghana,2017,"Safely managed drinking water sources, urban (Proportion of population with access)",56.5006,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
288,Ghana,2017,"Safely managed drinking water sources, rural (Proportion of population with access)",11.4510,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
288,Ghana,2017,"Safely managed drinking water sources, total (Proportion of population with access)",36.4116,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
292,Gibraltar,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",100.0000,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
292,Gibraltar,2005,"Safely managed drinking water sources, total (Proportion of population with access)",100.0000,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
292,Gibraltar,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",100.0000,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
292,Gibraltar,2010,"Safely managed drinking water sources, total (Proportion of population with access)",100.0000,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
292,Gibraltar,2017,"Safely managed drinking water sources, urban (Proportion of population with access)",100.0000,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
292,Gibraltar,2017,"Safely managed drinking water sources, total (Proportion of population with access)",100.0000,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
300,Greece,2005,"Safely managed drinking water sources, total (Proportion of population with access)",99.4041,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
300,Greece,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",86.7836,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
300,Greece,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",79.8943,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
300,Greece,2010,"Safely managed drinking water sources, total (Proportion of population with access)",99.8153,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
300,Greece,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",90.8399,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
300,Greece,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",83.9658,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
300,Greece,2017,"Safely managed drinking water sources, total (Proportion of population with access)",100.0000,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
300,Greece,2017,"Safely managed sanitation facilities, urban (Proportion of population with access)",96.6382,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
300,Greece,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",90.3912,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
304,Greenland,2005,"Safely managed drinking water sources, total (Proportion of population with access)",94.4562,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
304,Greenland,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",92.1489,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
304,Greenland,2010,"Safely managed drinking water sources, total (Proportion of population with access)",96.0131,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
304,Greenland,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",93.0398,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
304,Greenland,2017,"Safely managed drinking water sources, total (Proportion of population with access)",96.7477,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
304,Greenland,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",94.8404,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
308,Grenada,2005,"Safely managed drinking water sources, total (Proportion of population with access)",83.2098,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
308,Grenada,2010,"Safely managed drinking water sources, total (Proportion of population with access)",87.1172,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
308,Grenada,2017,"Safely managed drinking water sources, total (Proportion of population with access)",87.1153,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
312,Guadeloupe,2005,"Safely managed drinking water sources, total (Proportion of population with access)",96.8705,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
312,Guadeloupe,2010,"Safely managed drinking water sources, total (Proportion of population with access)",97.0902,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
312,Guadeloupe,2017,"Safely managed drinking water sources, total (Proportion of population with access)",97.3978,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
316,Guam,2005,"Safely managed drinking water sources, total (Proportion of population with access)",99.4005,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
316,Guam,2010,"Safely managed drinking water sources, total (Proportion of population with access)",99.5010,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
316,Guam,2017,"Safely managed drinking water sources, total (Proportion of population with access)",99.5412,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
320,Guatemala,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",58.4048,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
320,Guatemala,2005,"Safely managed drinking water sources, rural (Proportion of population with access)",41.4267,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
320,Guatemala,2005,"Safely managed drinking water sources, total (Proportion of population with access)",49.3916,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
320,Guatemala,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",61.5919,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
320,Guatemala,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",43.3764,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
320,Guatemala,2010,"Safely managed drinking water sources, total (Proportion of population with access)",52.1932,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
320,Guatemala,2017,"Safely managed drinking water sources, urban (Proportion of population with access)",65.6104,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
